dataset_id,dimension,bin_width_ps,method,frame_len_symbols,n_frames_attempted,n_frames_success,accepted_frame_fraction,success_classification,param_hash
real_typeii_20db_d32_bw40_blk0,32,40.0,layered_ldpc_lite,64,4,3.0,0.75,decode_improved_but_unverified,9670a15685aa444a
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,dc1d252b3b27a80e
real_typeii_20db_d32_bw40_blk0,32,40.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e70c48e72e0f514c
real_typeii_20db_d32_bw40_blk0,32,40.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,c0088d2836df2d57
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,1b68567774e87e2e
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,3.0,0.75,decode_improved_but_unverified,221e5a91339f6e44
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,ec874e3fd7633e78
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,0.0,0.0,decode_failed,f3f67ce02bdd88ce
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e8db1e33326bc16a
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,3.0,0.75,decode_improved_but_unverified,b07a3943cf9048dc
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,9670a15685aa444a
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,2.0,0.5,decode_improved_but_unverified,f3f67ce02bdd88ce
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,ec874e3fd7633e78
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,dc1d252b3b27a80e
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,1b68567774e87e2e
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,3.0,0.75,decode_improved_but_unverified,221e5a91339f6e44
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,3.0,0.75,decode_improved_but_unverified,b07a3943cf9048dc
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,c0088d2836df2d57
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,9670a15685aa444a
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e8db1e33326bc16a
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,c0088d2836df2d57
real_typeii_20db_d8_bw120_blk0,8,120.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e70c48e72e0f514c
real_typeii_20db_d8_bw180_blk0,8,180.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,1b68567774e87e2e
real_typeii_20db_d8_bw180_blk0,8,180.0,layered_ldpc_lite,64,4,1.0,0.25,decode_improved_but_unverified,dc1d252b3b27a80e
real_typeii_20db_d8_bw180_blk0,8,180.0,layered_ldpc_lite,64,4,2.0,0.5,decode_improved_but_unverified,f3f67ce02bdd88ce
real_typeii_20db_d32_bw60_blk0,32,60.0,layered_ldpc_lite,64,4,4.0,1.0,real_ir_success,e70c48e72e0f514c
real_typeii_20db_d8_bw180_blk0,8,180.0,layered_ldpc_lite,64,4,2.0,0.5,decode_improved_but_unverified,ec874e3fd7633e78
real_typeii_20db_d8_bw180_blk0,8,180.0,layered_ldpc_lite,64,4,3.0,0.75,decode_improved_but_unverified,b07a3943cf9048dc
